                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.3502,                0.82834,                 1.2658,                0.88929,                0.88597,                0.94144,                0.56962,                 1.3084,                0.70964,                 1.3469,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.3532,                0.82495,                 1.2679,                0.91881,                0.86065,                0.93875,                 0.5969,                 1.2437,                0.69013,                 1.3164,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.3474,                0.81741,                 1.2647,                0.91108,                0.87547,                0.93207,                0.58254,                 1.2306,                0.71091,                 1.3261,               0.009406,               0.009406,               0.009406
                     63,                 1.3454,                0.81848,                 1.2586,                0.89051,                0.85105,                0.91734,                0.56975,                  1.267,                0.73118,                 1.3349,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.3368,                0.80864,                 1.2495,                0.93031,                0.89547,                0.94784,                 0.5915,                  1.248,                0.66077,                 1.3109,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.3344,                 0.8081,                 1.2509,                0.92025,                0.86499,                0.93218,                0.57207,                 1.2883,                0.70022,                 1.3323,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.3197,                0.80273,                 1.2491,                 0.8994,                0.89105,                0.93119,                0.57704,                 1.2594,                0.68278,                 1.3181,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.3216,                0.79427,                  1.241,                0.92979,                0.85027,                0.92688,                0.57982,                 1.2539,                0.71605,                 1.3117,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.3111,                0.79133,                 1.2359,                0.90521,                0.87823,                0.93022,                0.57195,                 1.2801,                0.68797,                 1.3372,              0.0093466,              0.0093466,              0.0093466
                     69,                  1.314,                0.79455,                  1.239,                0.89799,                0.87439,                0.92686,                0.56965,                 1.2709,                0.69794,                 1.3227,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.3091,                0.78627,                 1.2371,                0.90057,                0.86317,                0.93245,                0.58565,                 1.2433,                0.72841,                 1.3208,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.2975,                 0.7831,                 1.2295,                0.92157,                0.89385,                0.93826,                0.59971,                 1.2298,                0.66074,                 1.3071,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.3017,                0.77928,                 1.2254,                0.95878,                0.82247,                0.92804,                0.57086,                 1.2968,                0.70077,                 1.3332,               0.009307,               0.009307,               0.009307
                     73,                 1.2924,                0.77758,                  1.232,                0.88706,                0.85105,                0.92031,                0.57695,                  1.256,                0.73659,                 1.3095,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.2929,                0.76857,                 1.2355,                 0.9199,                0.87678,                0.93876,                0.58964,                 1.2349,                0.69597,                 1.3019,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.2873,                0.77409,                 1.2226,                 0.9464,                 0.8686,                0.94849,                0.59804,                 1.2183,                0.63842,                 1.2969,              0.0092773,              0.0092773,              0.0092773
